,precision,recall,f1-score,support
battery,0.6702127659574468,0.5575221238938053,0.6086956521739131,113.0
biological,0.6444444444444445,0.8285714285714286,0.725,105.0
cardboard,0.6565217391304348,0.7156398104265402,0.6848072562358276,211.0
clothes,0.6643109540636042,0.6619718309859155,0.6631393298059964,284.0
glass,0.627906976744186,0.5172413793103449,0.5672268907563025,261.0
metal,0.4068965517241379,0.42142857142857143,0.41403508771929826,140.0
paper,0.5182926829268293,0.425,0.46703296703296704,200.0
plastic,0.496,0.5166666666666667,0.5061224489795918,240.0
shoes,0.5172413793103449,0.4838709677419355,0.5,217.0
trash,0.3416666666666667,0.6029411764705882,0.43617021276595747,68.0
accuracy,0.564437194127243,0.564437194127243,0.564437194127243,0.564437194127243
macro avg,0.5543494160968095,0.5730853955495797,0.5572229845469854,1839.0
weighted avg,0.5707523624421421,0.564437194127243,0.5637738965873802,1839.0
