,precision,recall,f1-score,support
battery,0.8907563025210085,0.9380530973451328,0.9137931034482759,113.0
biological,0.9035087719298246,0.9809523809523809,0.9406392694063926,105.0
cardboard,0.9271844660194175,0.9052132701421801,0.9160671462829736,211.0
clothes,0.956989247311828,0.9401408450704225,0.9484902309058615,284.0
glass,0.8786764705882353,0.9157088122605364,0.8968105065666041,261.0
metal,0.832,0.7428571428571429,0.7849056603773585,140.0
paper,0.8712871287128713,0.88,0.8756218905472637,200.0
plastic,0.8405172413793104,0.8125,0.826271186440678,240.0
shoes,0.9617224880382775,0.9262672811059908,0.9436619718309859,217.0
trash,0.6666666666666666,0.7941176470588235,0.7248322147651006,68.0
accuracy,0.8896139206090267,0.8896139206090267,0.8896139206090267,0.8896139206090267
macro avg,0.872930878316744,0.8835810476792612,0.8771093180571494,1839.0
weighted avg,0.8911190796840345,0.8896139206090267,0.8896868806055348,1839.0
